wavelength calibrated_flux flux_var
4288.316486404941 7.607577238366982e-17 4.4798284014896744e-36
4290.367381208599 7.615622120584375e-17 4.401133862947122e-36
4292.418276012256 7.260763248261997e-17 4.187215117320592e-36
4294.469170815913 7.805257996545727e-17 4.4406092276180486e-36
4296.520065619569 7.559901912225347e-17 4.2607033949388826e-36
4298.570960423226 7.437692556597369e-17 4.190446166348736e-36
4300.621855226883 7.753342334407881e-17 4.314935420915072e-36
4302.67275003054 7.434061918468179e-17 4.1326073873430285e-36
4304.723644834196 7.221118037157608e-17 3.992000372637789e-36
4306.774539637853 7.275884001823284e-17 4.024512247317997e-36
4308.82543444151 7.438999129650091e-17 4.1574429906393535e-36
4310.876329245167 7.373030191414839e-17 4.1432116850570776e-36
4312.9272240488235 7.256555391406501e-17 4.076217286238949e-36
4314.97811885248 7.247925831416594e-17 4.217638725795663e-36
4317.029013656137 7.354112685494678e-17 4.288567690606237e-36
4319.079908459794 7.246713184984953e-17 4.2352533014689525e-36
4321.130803263451 7.119786174368702e-17 4.0301780020328024e-36
4323.181698067107 7.115631810467304e-17 4.047262144379807e-36
4325.232592870764 7.191282767066677e-17 4.0247315932139955e-36
4327.283487674421 6.624395094066382e-17 3.662938785104598e-36
4329.334382478078 6.969222255937349e-17 3.9233835504829214e-36
4331.3852772817345 6.974944609618817e-17 3.902952726636188e-36
4333.436172085391 6.996101291984058e-17 4.023460847755355e-36
4335.487066889048 6.99585872463681e-17 3.9092892960284743e-36
4337.537961692705 6.750081715333356e-17 3.7659950025672476e-36
4339.588856496362 6.721214117986299e-17 3.77942968866327e-36
4341.639751300018 6.69493642921682e-17 3.646902097799976e-36
4343.690646103675 6.226842560003691e-17 3.50960588846806e-36
4345.741540907332 6.49404620659301e-17 3.666920645716193e-36
4347.792435710989 6.439148085978366e-17 3.6493566854380116e-36
4349.8433305146455 6.470839096068483e-17 3.6891659252985906e-36
4351.894225318302 6.653286042175261e-17 3.6867989425978275e-36
4353.945120121959 6.841480718143048e-17 3.784178133201312e-36
4355.996014925616 6.401159018272093e-17 3.5660894923558415e-36
4358.0469097292735 6.671140747426452e-17 3.80544339228162e-36
4360.09780453293 6.674215044792031e-17 3.736182222712238e-36
4362.148699336587 6.556974755284729e-17 3.584017276454605e-36
4364.199594140244 6.59177960363636e-17 3.6765377651997e-36
4366.250488943901 6.88809220662122e-17 3.8920745002382925e-36
4368.301383747557 7.153825391236121e-17 3.931768478627932e-36
4370.352278551214 6.741277023411443e-17 3.7409931227466944e-36
4372.403173354871 6.842129922362426e-17 3.733822214573255e-36
4374.454068158528 7.030069926151016e-17 3.7889188422619e-36
4376.504962962184 6.870800290216453e-17 3.797074678132194e-36
4378.555857765841 6.726455898384503e-17 3.639819483795668e-36
4380.606752569498 7.2336589113189e-17 3.8900595766443834e-36
4382.657647373155 6.910102041514321e-17 3.674359661731875e-36
4384.7085421768115 7.187242460289658e-17 3.785236832001062e-36
4386.759436980468 6.979390336185715e-17 3.699914488428296e-36
4388.810331784125 6.890871189524157e-17 3.683165668143257e-36
4390.861226587782 6.834770408907448e-17 3.621050536691311e-36
4392.912121391439 7.413765330534781e-17 3.969868352400549e-36
4394.963016195095 7.057098584936021e-17 3.811707589203691e-36
4397.013910998752 7.135019844632805e-17 3.778344805689109e-36
4399.064805802409 7.108771726894617e-17 3.826689508564189e-36
4401.115700606066 7.185792328043619e-17 3.8187131805872255e-36
4403.1665954097225 7.035003582304799e-17 3.7996379137699903e-36
4405.217490213379 6.874744325290926e-17 3.775912408890238e-36
4407.268385017036 7.128048718272848e-17 3.85343692403716e-36
4409.319279820693 7.050035364255397e-17 3.9034075530714606e-36
4411.37017462435 6.9138463331195e-17 3.76163566603934e-36
4413.421069428006 6.753797894806483e-17 3.757873166140681e-36
4415.471964231663 6.866678217823282e-17 3.7154431341460105e-36
4417.52285903532 6.687256691078904e-17 3.642991820570247e-36
4419.573753838977 6.814729607911005e-17 3.7822808166388664e-36
4421.6246486426335 6.799981412280234e-17 3.6613197817550785e-36
4423.67554344629 7.157803040393448e-17 3.898027837712109e-36
4425.726438249947 6.83698088531631e-17 3.679110708576635e-36
4427.777333053604 6.555885498497773e-17 3.542724582174262e-36
4429.828227857261 6.770191299473663e-17 3.6135563799880306e-36
4431.879122660917 6.613319438034645e-17 3.496379768732583e-36
4433.930017464574 6.874384391888846e-17 3.6855863084995584e-36
4435.980912268231 6.622453889151019e-17 3.516111690683132e-36
4438.031807071888 6.70470372622975e-17 3.656178411444889e-36
